date,NO2(t-2),NO2(t-1),NO2(t)
2023-10-03,0.23820266853208497,0.1928396571780693,0.19685368861962058
2023-10-04,0.1928396571780693,0.19685368861962058,0.149559558188078
2023-10-05,0.19685368861962058,0.149559558188078,0.15424679438234115
2023-10-06,0.149559558188078,0.15424679438234115,0.18562532236984688
2023-10-07,0.15424679438234115,0.18562532236984688,0.15201043946874668
2023-10-08,0.18562532236984688,0.15201043946874668,0.14914328724274242
2023-10-09,0.15201043946874668,0.14914328724274242,0.1599070041637173
2023-10-10,0.14914328724274242,0.1599070041637173,0.24229229119779747
2023-10-11,0.1599070041637173,0.24229229119779747,0.21410537740392308
2023-10-12,0.24229229119779747,0.21410537740392308,0.1667799873287729
2023-10-13,0.21410537740392308,0.1667799873287729,0.12725153424224425
2023-10-14,0.1667799873287729,0.12725153424224425,0.08375335075280918
2023-10-15,0.12725153424224425,0.08375335075280918,0.09153158082232013
2023-10-16,0.08375335075280918,0.09153158082232013,0.17510366534668606
2023-10-17,0.09153158082232013,0.17510366534668606,0.2863755660331948
2023-10-18,0.17510366534668606,0.2863755660331948,0.18576888461193572
2023-10-19,0.2863755660331948,0.18576888461193572,0.20442719627476671
2023-10-20,0.18576888461193572,0.20442719627476671,0.20659718362064308
2023-10-21,0.20442719627476671,0.20659718362064308,0.24104856358959784
2023-10-22,0.20659718362064308,0.24104856358959784,0.2335703161478492
2023-10-23,0.24104856358959784,0.2335703161478492,0.2388242116461429
2023-10-24,0.2335703161478492,0.2388242116461429,0.2504754611644969
2023-10-25,0.2388242116461429,0.2504754611644969,0.25987251929454536
2023-10-26,0.2504754611644969,0.25987251929454536,0.437021454102719
2023-10-27,0.25987251929454536,0.437021454102719,0.356098987059271
2023-10-28,0.437021454102719,0.356098987059271,0.32486034101384953
2023-10-29,0.356098987059271,0.32486034101384953,0.279708481145991
2023-10-30,0.32486034101384953,0.279708481145991,0.26373093971100514
2023-10-31,0.279708481145991,0.26373093971100514,0.24188939760849523
2023-11-01,0.26373093971100514,0.24188939760849523,0.24788005557161377
2023-11-02,0.24188939760849523,0.24788005557161377,0.25217171296372076
2023-11-03,0.24788005557161377,0.25217171296372076,0.2267824685534399
2023-11-04,0.25217171296372076,0.2267824685534399,0.20139322414315894
2023-11-05,0.2267824685534399,0.20139322414315894,0.17600402554574116
2023-11-06,0.20139322414315894,0.17600402554574116,0.2895078525690754
2023-11-07,0.17600402554574116,0.2895078525690754,0.4365997161557168
2023-11-08,0.2895078525690754,0.4365997161557168,0.46252115332600163
2023-11-09,0.4365997161557168,0.46252115332600163,0.48634923279946884
2023-11-10,0.46252115332600163,0.48634923279946884,0.38701078886818285
2023-11-11,0.48634923279946884,0.38701078886818285,0.37000986442568873
2023-11-12,0.38701078886818285,0.37000986442568873,0.3530089399831946
2023-11-13,0.37000986442568873,0.3530089399831946,0.3479293318871943
2023-11-14,0.3530089399831946,0.3479293318871943,0.4409951549537632
2023-11-15,0.3479293318871943,0.4409951549537632,0.610859646002174
2023-11-16,0.4409951549537632,0.610859646002174,0.49622211859691934
2023-11-17,0.610859646002174,0.49622211859691934,0.40192024921220204
2023-11-18,0.49622211859691934,0.40192024921220204,0.6007232904288744
