date,NO2
2024-03-26,2.5098616e-05
2024-03-27,2.9513114e-05
2024-03-28,2.539391e-05
2024-03-29,2.2022687e-05
2024-03-30,1.8120554e-05
2024-03-31,1.9237417e-05
2024-04-01,2.0467769e-05
2024-04-02,2.169812e-05
2024-04-03,2.0664877e-05
2024-04-04,3.3864737e-05
2024-04-05,3.234131e-05
2024-04-06,3.0817886e-05
2024-04-07,2.929446e-05
2024-04-08,2.7703043e-05
2024-04-09,2.5847503e-05
2024-04-10,2.340772e-05
2024-04-11,2.0967937e-05
2024-04-12,1.8528155e-05
2024-04-13,1.691185e-05
2024-04-14,1.6155049e-05
2024-04-15,1.5324275e-05
2024-04-16,1.697035e-05
2024-04-17,1.8127785e-05
2024-04-18,1.928522e-05
2024-04-19,1.730369e-05
2024-04-20,1.7485623e-05
2024-04-21,1.7371935e-05
2024-04-22,1.7258244e-05
2024-04-23,1.7044156e-05
2024-04-24,1.6830068e-05
2024-04-25,1.661598e-05
2024-04-26,1.6401893e-05
2024-04-27,1.8491468e-05
2024-04-28,1.8425528e-05
2024-04-29,2.0324444e-05
2024-04-30,1.9875119e-05
2024-05-01,2.1217176e-05
2024-05-02,2.840488e-05
2024-05-03,3.1035408e-05
2024-05-04,2.8801856e-05
2024-05-05,2.3762113e-05
2024-05-06,1.849044e-05
2024-05-07,1.8701594e-05
2024-05-08,1.8266317e-05
2024-05-09,1.8825102e-05
2024-05-10,1.5775235e-05
2024-05-11,1.759468e-05
2024-05-12,1.4504222e-05
2024-05-13,1.5780666e-05
2024-05-14,1.622882e-05
2024-05-15,1.598399e-05
2024-05-16,1.6467346e-05
2024-05-17,1.5624713e-05
2024-05-18,1.619781e-05
2024-05-19,1.6972106e-05
2024-05-20,1.7321758e-05
2024-05-21,1.94433e-05
2024-05-22,2.0738973e-05
2024-05-23,1.8676701e-05
2024-05-24,2.012833e-05
2024-05-25,1.9836638e-05
2024-05-26,2.0083764e-05
2024-05-27,1.8571647e-05
2024-05-28,1.5713678e-05
2024-05-29,1.6425516e-05
2024-05-30,2.006081e-05
2024-05-31,1.5972384e-05
2024-06-01,2.047134e-05
2024-06-02,2.2908293e-05
2024-06-03,2.5345244e-05
2024-06-04,2.5849826e-05
2024-06-05,2.7196611e-05
2024-06-06,1.861705e-05
2024-06-07,2.4386534e-05
2024-06-08,1.6285074e-05
2024-06-09,1.6435073e-05
2024-06-10,1.8739145e-05
2024-06-11,1.5489133e-05
2024-06-12,1.6878832e-05
2024-06-13,2.1348107e-05
2024-06-14,1.9137622e-05
2024-06-15,1.6923943e-05
2024-06-16,1.4710261e-05
2024-06-17,1.4938563e-05
2024-06-18,1.5166866e-05
2024-06-19,2.067705e-05
2024-06-20,2.2636203e-05
2024-06-21,2.2506843e-05
2024-06-22,1.6770224e-05
2024-06-23,1.8989043e-05
2024-06-24,1.9658446e-05
2024-06-25,2.0327849e-05
2024-06-26,1.881751e-05
2024-06-27,1.5284022e-05
2024-06-28,1.5541527e-05
2024-06-29,1.813591e-05
2024-06-30,2.808121e-05
2024-07-01,3.0873354e-05
2024-07-02,2.7759648e-05
2024-07-03,2.4645946e-05
2024-07-04,2.153224e-05
2024-07-05,1.8418536e-05
2024-07-06,1.802823e-05
2024-07-07,1.5934555e-05
2024-07-08,1.6755086e-05
2024-07-09,2.3891076e-05
2024-07-10,2.0245738e-05
2024-07-11,1.8535435e-05
2024-07-12,1.9535957e-05
2024-07-13,2.6917038e-05
2024-07-14,2.6118967e-05
2024-07-15,2.8626913e-05
2024-07-16,2.3572902e-05
2024-07-17,1.5611839e-05
2024-07-18,1.3031256e-05
2024-07-19,2.2662603e-05
2024-07-20,2.0054826e-05
2024-07-21,2.1838976e-05
2024-07-22,2.2272658e-05
2024-07-23,2.3231209e-05
2024-07-24,2.9312803e-05
2024-07-25,3.0130614e-05
2024-07-26,1.826187e-05
2024-07-27,1.6701373e-05
2024-07-28,1.960527e-05
2024-07-29,2.1698917e-05
2024-07-30,2.3099386e-05
2024-07-31,1.99859e-05
2024-08-01,1.6751783e-05
2024-08-02,1.7415421e-05
2024-08-03,1.609156e-05
2024-08-04,2.1247646e-05
2024-08-05,2.4893105e-05
2024-08-06,2.2730554e-05
2024-08-07,2.9034833e-05
2024-08-08,2.3158556e-05
2024-08-09,1.8966392e-05
2024-08-10,1.7521043e-05
2024-08-11,1.968568e-05
2024-08-12,2.1835825499999998e-05
2024-08-13,2.3985971e-05
2024-08-14,1.9384672e-05
2024-08-15,2.9607592e-05
2024-08-16,2.5943025e-05
2024-08-17,2.0973159e-05
2024-08-18,2.0904301e-05
2024-08-19,2.8342782e-05
2024-08-20,2.8382326e-05
2024-08-21,2.583565e-05
2024-08-22,3.8670783e-05
2024-08-23,2.4272103e-05
2024-08-24,1.9714107e-05
2024-08-25,1.969338e-05
2024-08-26,2.1728569e-05
2024-08-27,2.629412e-05
2024-08-28,2.8192298e-05
2024-08-29,3.009048e-05
2024-08-30,1.9354087e-05
2024-08-31,2.936193e-05
2024-09-01,1.9515328e-05
2024-09-02,2.070935e-05
2024-09-03,1.9373676e-05
2024-09-04,1.6786984e-05
2024-09-05,2.2691353e-05
2024-09-06,2.316954e-05
2024-09-07,1.6780523e-05
2024-09-08,1.6506483e-05
2024-09-09,1.904261e-05
2024-09-10,2.1965501e-05
2024-09-11,2.5665377e-05
2024-09-12,2.3537958e-05
2024-09-13,2.1027045e-05
2024-09-14,2.4920544e-05
2024-09-15,2.1578337e-05
2024-09-16,3.3113556e-05
2024-09-17,2.7523809e-05
2024-09-18,3.9238774e-05
2024-09-19,7.675149e-05
2024-09-20,2.9552311e-05
2024-09-21,2.8058952e-05
2024-09-22,2.5914509e-05
2024-09-23,2.7705075e-05
2024-09-24,2.9495635e-05
2024-09-25,3.2032156e-05
2024-09-26,3.4454286e-05
2024-09-27,3.064974e-05
2024-09-28,2.642925e-05
2024-09-29,2.5069185e-05
2024-09-30,2.4864934e-05
2024-10-01,2.4270224e-05
2024-10-02,2.5645073e-05
2024-10-03,2.4340154e-05
2024-10-04,2.3933437e-05
2024-10-05,2.169318e-05
2024-10-06,1.8424129e-05
2024-10-07,2.0786516e-05
2024-10-08,1.9162117e-05
2024-10-09,1.8091128e-05
2024-10-10,2.105443e-05
2024-10-11,1.5473393e-05
2024-10-12,2.1670465e-05
2024-10-13,2.8847084e-05
2024-10-14,3.0092064e-05
2024-10-15,3.0374404e-05
2024-10-16,2.923364e-05
2024-10-17,4.656214e-05
2024-10-18,2.9982895e-05
2024-10-19,2.5209678e-05
2024-10-20,2.8348273e-05
2024-10-21,3.0880634e-05
2024-10-22,3.3412995e-05
2024-10-23,2.1600363e-05
2024-10-24,3.5233876e-05
2024-10-25,3.861473e-05
2024-10-26,2.385483e-05
2024-10-27,2.5221956e-05
2024-10-28,3.0275089e-05
2024-10-29,2.6514826e-05
2024-10-30,2.4098275e-05
2024-10-31,2.2713282e-05
2024-11-01,2.0007179e-05
2024-11-02,1.7301076e-05
2024-11-03,1.9322835e-05
2024-11-04,2.1415672e-05
2024-11-05,2.3508508e-05
2024-11-06,2.6023688e-05
2024-11-07,2.9244835e-05
2024-11-08,2.8277202e-05
2024-11-09,2.7309563e-05
2024-11-10,2.57973e-05
2024-11-11,2.4285038e-05
2024-11-12,2.3206057e-05
2024-11-13,2.2109096e-05
2024-11-14,2.0997708e-05
2024-11-15,2.0462483e-05
2024-11-16,2.1263511e-05
2024-11-17,2.2040633e-05
2024-11-18,2.2807073e-05
2024-11-19,2.3573513e-05
2024-11-20,2.4173842e-05
2024-11-21,2.4774168e-05
2024-11-22,2.5818226e-05
2024-11-23,2.5912806e-05
2024-11-24,2.6007387e-05
2024-11-25,2.6101967e-05
2024-11-26,2.6196547e-05
2024-11-27,2.6291129e-05
2024-11-28,2.648895e-05
2024-11-29,2.668677e-05
2024-11-30,2.6884592e-05
2024-12-01,2.7082411e-05
2024-12-02,2.7280235e-05
2024-12-03,2.7478058e-05
2024-12-04,2.741414e-05
2024-12-05,2.7350228e-05
2024-12-06,2.7107844e-05
2024-12-07,2.6865462e-05
2024-12-08,2.6623082e-05
2024-12-09,2.6380698e-05
2024-12-10,2.6138316e-05
2024-12-11,2.8635193e-05
2024-12-12,2.9512988e-05
2024-12-13,2.7606584e-05
2024-12-14,2.8228815e-05
2024-12-15,2.8851044e-05
2024-12-16,2.9473274e-05
2024-12-17,3.0095502e-05
2024-12-18,3.071773e-05
2024-12-19,3.152316e-05
2024-12-20,3.2487915e-05
2024-12-21,3.3452667e-05
2024-12-22,3.3269098e-05
2024-12-23,3.3085526e-05
2024-12-24,3.3414937e-05
2024-12-25,3.3744345e-05
2024-12-26,3.407376e-05
2024-12-27,2.8997169e-05
2024-12-28,2.6744347e-05
2024-12-29,2.449153e-05
2024-12-30,2.2284143e-05
2024-12-31,2.4927922e-05
2025-01-01,2.7571701e-05
2025-01-02,3.021548e-05
2025-01-03,3.2859258e-05
2025-01-04,3.255657e-05
2025-01-05,3.225388e-05
2025-01-06,3.195119e-05
2025-01-07,3.2135467e-05
2025-01-08,2.7442235e-05
2025-01-09,2.8087632e-05
2025-01-10,3.133509e-05
2025-01-11,3.4582554e-05
2025-01-12,3.528082e-05
2025-01-13,3.512703e-05
2025-01-14,3.497324e-05
2025-01-15,3.4885517e-05
2025-01-16,3.4797802e-05
2025-01-17,3.4710083e-05
2025-01-18,3.4622364e-05
2025-01-19,3.4945624e-05
2025-01-20,3.546475e-05
2025-01-21,3.518206e-05
2025-01-22,3.575419e-05
2025-01-23,3.6675876e-05
2025-01-24,3.7597565e-05
2025-01-25,3.851925e-05
2025-01-26,3.2303305e-05
2025-01-27,3.0654715e-05
2025-01-28,2.9006129e-05
2025-01-29,2.7357542e-05
2025-01-30,2.6808013333333334e-05
2025-01-31,2.6258484666666665e-05
2025-02-01,2.5708956e-05
2025-02-02,2.411612e-05
2025-02-03,2.2586173e-05
2025-02-04,2.1845819e-05
2025-02-05,2.0833115e-05
2025-02-06,1.7149157e-05
2025-02-07,2.2639837e-05
2025-02-08,2.8130515e-05
2025-02-09,2.7804603e-05
2025-02-10,2.91298e-05
2025-02-11,3.0454998e-05
2025-02-12,3.1780197e-05
2025-02-13,2.6268719e-05
2025-02-14,2.1353313e-05
2025-02-15,1.6183947e-05
2025-02-16,1.7753771e-05
2025-02-17,2.0263351e-05
2025-02-18,2.2772929e-05
2025-02-19,2.5282507e-05
2025-02-20,2.476565e-05
2025-02-21,2.4248795e-05
2025-02-22,2.3516524e-05
2025-02-23,2.2784256e-05
2025-02-24,2.2051987e-05
2025-02-25,2.1319718e-05
2025-02-26,2.2289161e-05
2025-02-27,2.378138e-05
2025-02-28,2.454566e-05
2025-03-01,2.2200076e-05
2025-03-02,2.0828295e-05
2025-03-03,2.0454858e-05
2025-03-04,2.0597361e-05
2025-03-05,1.891848e-05
2025-03-06,1.8445571e-05
2025-03-07,1.7972665e-05
2025-03-08,1.7454573e-05
2025-03-09,1.6936483e-05
2025-03-10,1.6418393e-05
2025-03-11,1.5900303e-05
2025-03-12,1.4421016e-05
2025-03-13,1.608863e-05
2025-03-14,1.7756243e-05
2025-03-15,1.9423856e-05
2025-03-16,2.1091468e-05
2025-03-17,2.2580412e-05
2025-03-18,2.4069355e-05
2025-03-19,2.6994267e-05
2025-03-20,2.9919178e-05
2025-03-21,3.0281946e-05
2025-03-22,2.9597673e-05
2025-03-23,2.89134e-05
2025-03-24,2.8229128e-05
2025-03-25,2.507634e-05
2025-03-26,2.3273366e-05
2025-03-27,2.4088522e-05
2025-03-28,2.3310895e-05
2025-03-29,2.2960152e-05
2025-03-30,2.2609413e-05
2025-03-31,2.2258671e-05
2025-04-01,2.1907928e-05
2025-04-02,1.9335484e-05
2025-04-03,2.0972519e-05
2025-04-04,2.0002319e-05
2025-04-05,1.8570245e-05
2025-04-06,1.7138174e-05
2025-04-07,1.8898361e-05
2025-04-08,1.8323903e-05
2025-04-09,1.8235734e-05
2025-04-10,1.8147566e-05
2025-04-11,1.8173389e-05
2025-04-12,1.8199215e-05
2025-04-13,1.8225039e-05
2025-04-14,1.941705e-05
2025-04-15,1.979207e-05
2025-04-16,2.0167092e-05
2025-04-17,2.2618895e-05
2025-04-18,2.7736092e-05
2025-04-19,3.6088706e-05
2025-04-20,3.3846893e-05
2025-04-21,3.1605072e-05
2025-04-22,2.9363255e-05
2025-04-23,2.8679018e-05
2025-04-24,2.5426969e-05
2025-04-25,2.702718e-05
2025-04-26,2.8627392e-05
2025-04-27,3.0363626e-05
2025-04-28,2.3731538e-05
2025-04-29,2.6046775e-05
2025-04-30,2.5261688e-05
2025-05-01,2.7219367e-05
2025-05-02,2.413409e-05
2025-05-03,2.162612e-05
2025-05-04,1.9306786e-05
2025-05-05,1.7084372e-05
2025-05-06,1.8030867e-05
2025-05-07,1.8364537e-05
2025-05-08,1.8395342e-05
2025-05-09,1.8711606e-05
2025-05-10,1.9027872e-05
2025-05-11,2.0746606e-05
2025-05-12,2.0189935e-05
2025-05-13,1.9633264e-05
2025-05-14,1.9076593e-05
2025-05-15,2.016534e-05
2025-05-16,2.1254084e-05
2025-05-17,2.1752969e-05
2025-05-18,2.016566e-05
2025-05-19,2.0073068e-05
2025-05-20,1.9980478e-05
2025-05-21,1.8637224e-05
2025-05-22,1.7676117e-05
2025-05-23,1.6715012e-05
